112004-AB1904                   	面向5G多场景多业务特征的定制化网络传输技术研究
112004-AB2001                   	面向预测的边缘智能网络资源调度技术研究
112004-AD2001                   	Tbit光电太赫兹通信器件芯片与系统
115002-AA2004                   	★飞行机器人在单个或多个转子失效情况下的运动控制技术研究
111008-AA2003                   	★面向数字孪生的交通场景智能化重建和泛化
115011-BF2101                   	人工智能社会实验进展评估总结工作支撑
103000-AF2102                   	材料公共支撑平台
115002-AB1901                   	基于视觉的物体识别与场景理解
115002-AB1902                   	复杂环境中的高效视觉感知
115002-AB1903                   	基于三维视觉的物体识别与场景理解
115002-AB1904                   	智能无人机动态避障路径规划
115002-AB1905                   	智能无人机动态避障路径规划研究
115004-AA2001                   	DETECTION METHOD FOR ACCURATE AND FAST LIVER LESION DETECTION
115002-AB1907                   	多旋翼飞行机器人冗余调度与容错管控技术
115002-AB1908                   	旋翼无人机安全控制系统技术研究及飞行验证
115002-AB2001                   	自适应多样性场景的目标识别技术
115002-AB2002                   	复杂动态环境中的三位物体识别与位姿跟踪
115002-AB2003                   	结合多模态视觉语言推理的人机交互和导航
115002-AB2004                   	面向服务机器人自然语言交互的深度意图理解
111007-AA2007                   	★基于图神经网络模型的多样化社区挖掘与预测研究
113010-AA2005                   	★可数字化制造的高灵敏机器人手指电子皮肤研究
113010-AA2006                   	★紧凑型光场相机设计及标定
113010-AA2007                   	★宽频带、广角度反射型全息声学超表面的研究
113010-UA2004SJ                 	蚕丝蛋白透明纸的制备及其触觉电子器件
113010-UA2005SJ                 	基于光场调控的大通量3D暗斑技术研究
111002-GD2001                   	数据与知识混合驱动的能源互联网韧性提升调度方法研究
102000-542003                   	人才办—引才荐才专用经费
111012-PI2102                   	基于植入式光学成像的脑机接口软件系统研究
113010-AD1903**                 	声学实验室建设（已验收）
103000-AG2001                   	新一代工业控制系统信息安全大型试验装置
115012-541602                   	杭钢-之江数字经济联合创新中心经费
115012-TD2101                   	长三角产教融合智慧云平台
109000-540402                   	人才工作办公室—日常运行经费
